data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_attualmente_positivi,nuovi_attualmente_positivi,dimessi_guariti,deceduti,totale_casi,tamponi
2020-02-24 18:00:00,ITA,0,0,0,0,0,0,0,0,0,1
2020-02-25 18:00:00,ITA,0,0,0,0,0,0,0,0,0,2
2020-02-26 18:00:00,ITA,0,0,0,0,0,0,0,0,0,3
2020-02-27 18:00:00,ITA,0,0,0,0,0,0,0,0,0,14
2020-02-28 18:00:00,ITA,0,0,0,1,1,1,0,0,1,21
2020-02-29 17:00:00,ITA,0,0,0,1,1,0,0,0,1,27
2020-03-01 17:00:00,ITA,0,0,0,1,1,0,0,0,1,35
2020-03-02 18:00:00,ITA,0,0,0,1,1,0,0,0,1,39
2020-03-03 18:00:00,ITA,0,0,0,1,1,0,0,0,1,39
2020-03-04 17:00:00,ITA,0,0,0,1,1,0,0,0,1,46
2020-03-05 17:00:00,ITA,1,0,1,1,2,1,0,0,2,53
2020-03-06 17:00:00,ITA,2,0,2,2,4,2,0,0,4,99
2020-03-07 18:00:00,ITA,2,0,2,2,4,0,0,0,4,113
2020-03-08 18:00:00,ITA,5,0,5,4,9,5,0,0,9,113
2020-03-09 18:00:00,ITA,8,0,8,1,9,0,2,0,11,173
2020-03-10 18:00:00,ITA,8,2,10,1,11,2,2,0,13,360
2020-03-11 17:00:00,ITA,10,2,12,5,17,6,2,0,19,405
2020-03-12 17:00:00,ITA,14,2,16,16,32,15,1,0,33,483
2020-03-13 17:00:00,ITA,18,3,21,16,37,5,1,0,38,504
2020-03-14 17:00:00,ITA,22,4,26,33,59,22,1,0,60,711
2020-03-15 17:00:00,ITA,32,6,38,28,66,7,1,1,68,884
2020-03-16 17:00:00,ITA,36,7,43,44,87,21,1,1,89,1030
2020-03-17 17:00:00,ITA,45,10,55,57,112,25,1,1,114,1293
2020-03-18 17:00:00,ITA,45,11,56,70,126,14,2,1,129,1668
2020-03-19 17:00:00,ITA,60,13,73,91,164,38,2,3,169,2342
2020-03-20 17:00:00,ITA,71,16,87,114,201,37,2,4,207,2690
2020-03-21 17:00:00,ITA,73,16,89,136,225,24,5,5,235,3050
2020-03-22 17:00:00,ITA,77,17,94,166,260,35,5,8,273,3666
2020-03-23 17:00:00,ITA,82,20,102,178,280,20,5,7,292,4073
2020-03-24 17:00:00,ITA,88,21,109,195,304,24,5,10,319,4486
2020-03-25 17:00:00,ITA,93,23,116,217,333,29,7,11,351,5058
2020-03-26 17:00:00,ITA,101,23,124,248,372,39,7,14,393,5933
